asset,entry_time,method,stop_pct,trades,gross_pnl,fees,net_pnl,avg_pnl,median_pnl,win_rate,avg_profitable_trade,avg_losing_trade,payoff_ratio,profit_factor,sharpe_daily_annualized,max_drawdown,max_drawdown_duration_days,max_drawdown_duration_trades,max_drawdown_date,recovery_date,recovered,max_consecutive_wins,max_consecutive_losses,best_trade,worst_trade,cvar_95
BTC,14:15,leg_independent,100,191,19.24,821.43,-802.19,-4.2,-7.0721,0.3927,27.5916,-24.7548,1.1146,0.7206,-2.1308,891.34,164,164,2026-07-10,,False,5,7,127.62,-287.46,-92.44
BTC,14:15,leg_independent,150,191,347.08,788.75,-441.67,-2.3124,-5.8178,0.4503,35.7055,-33.4509,1.0674,0.8743,-1.0305,659.01,160,160,2026-07-09,,False,5,9,127.62,-191.98,-92.57
BTC,14:30,combined,50,191,693.3,741.61,-48.3,-0.2529,4.3934,0.5131,38.6209,-41.2167,0.937,0.9874,-0.1024,869.51,129,129,2026-06-26,,False,9,6,122.24,-203.95,-93.78
BTC,14:30,combined,100,191,503.96,729.02,-225.06,-1.1783,13.9085,0.5864,37.649,-56.2247,0.6696,0.9493,-0.4035,1174.03,121,121,2026-06-26,,False,17,4,122.24,-203.95,-120.88
BTC,14:30,combined,150,191,1059.61,725.31,334.31,1.7503,16.9349,0.6126,37.2912,-54.4427,0.685,1.083,0.5953,868.29,111,111,2026-07-03,,False,17,3,122.24,-203.95,-136.63
BTC,14:30,leg_both,50,191,144.01,893.56,-749.55,-3.9243,-6.7048,0.2304,16.6282,-10.0761,1.6503,0.494,-4.9209,790.65,190,191,2026-06-29,,False,3,12,70.76,-36.66,-25.13
BTC,14:30,leg_both,100,191,351.78,803.94,-452.17,-2.3674,-8.9786,0.3508,31.3961,-20.6105,1.5233,0.8231,-1.4428,738.88,160,160,2026-07-07,,False,3,10,122.24,-88.79,-57.1
BTC,14:30,leg_both,150,191,687.02,758.86,-71.84,-0.3761,-4.6005,0.4503,38.1171,-31.9039,1.1947,0.9786,-0.1642,786.7,129,129,2026-06-26,,False,9,9,122.24,-203.95,-91.4
BTC,14:30,leg_independent,50,191,475.91,848.18,-372.27,-1.9491,2.129,0.5812,16.1973,-27.1271,0.5971,0.8285,-1.0699,710.44,160,160,2026-06-05,,False,11,5,70.76,-292.68,-91.43
BTC,14:30,leg_independent,100,191,85.72,791.14,-705.42,-3.6933,-3.7698,0.4136,29.2663,-26.9416,1.0863,0.7662,-1.6222,1051.29,160,160,2026-07-07,,False,4,8,122.24,-312.41,-119.75
BTC,14:30,leg_independent,150,191,812.42,751.46,60.97,0.3192,-2.7859,0.4817,36.5655,-33.3643,1.0959,1.0185,0.1353,679.83,129,129,2026-06-26,,False,9,9,122.24,-203.95,-103.54
BTC,14:45,combined,50,191,635.38,729.41,-94.03,-0.4923,4.2448,0.5288,34.6384,-39.9167,0.8678,0.9738,-0.2061,1037.38,115,115,2026-06-26,,False,9,6,111.78,-241.52,-92.93
BTC,14:45,combined,100,191,465.04,715.89,-250.85,-1.3134,11.3538,0.5916,33.7288,-52.0796,0.6476,0.9382,-0.4725,1208.2,121,121,2026-06-26,,False,15,6,111.78,-241.52,-124.57
BTC,14:45,combined,150,191,479.58,713.13,-233.54,-1.2227,12.2765,0.6126,33.1453,-55.5614,0.5966,0.9432,-0.4137,1210.39,121,121,2026-07-02,,False,15,6,111.78,-241.52,-143.48
BTC,14:45,leg_both,50,191,328.45,853.81,-525.36,-2.7506,-5.7068,0.3194,14.3055,-10.7538,1.3303,0.6242,-3.2403,746.91,162,162,2026-07-10,,False,9,12,65.41,-54.6,-28.17
BTC,14:45,leg_both,100,191,495.46,776.41,-280.95,-1.4709,-7.0625,0.4084,29.1036,-22.5755,1.2892,0.8899,-0.8097,651.44,135,135,2026-06-26,,False,9,6,101.61,-241.52,-72.84
BTC,14:45,leg_both,150,191,792.01,746.14,45.86,0.2401,-1.3941,0.4869,32.7644,-30.6247,1.0699,1.0153,0.1116,864.94,113,113,2026-07-03,,False,9,6,106.59,-241.52,-87.06
BTC,14:45,leg_independent,50,191,257.48,829.91,-572.43,-2.997,1.79,0.5393,16.5727,-25.9025,0.6398,0.7489,-2.0599,938.25,135,135,2026-07-09,,False,7,6,65.41,-88.67,-66.39
BTC,14:45,leg_independent,100,191,779.5,758.59,20.91,0.1095,-2.517,0.4607,27.5451,-23.3306,1.1806,1.0087,0.057,625.0,125,125,2026-03-29,,False,9,6,101.61,-241.52,-93.23
BTC,14:45,leg_independent,150,191,890.78,737.65,153.12,0.8017,0.4148,0.5079,31.6011,-30.9806,1.02,1.0526,0.3664,759.73,111,111,2026-07-03,,False,9,6,106.59,-241.52,-97.38
BTC,15:00,combined,50,191,1143.81,697.74,446.06,2.3354,11.1262,0.6021,29.8575,-39.3098,0.7595,1.1493,1.0578,472.98,121,121,2026-05-14,,False,12,6,107.71,-250.15,-93.8
BTC,15:00,combined,100,191,864.21,686.69,177.52,0.9294,13.2283,0.644,30.1344,-51.8972,0.5807,1.0503,0.3589,665.2,110,110,2026-06-26,,False,21,4,107.71,-250.15,-120.73
BTC,15:00,combined,150,191,686.2,685.83,0.37,0.0019,13.2283,0.6597,29.5142,-57.2064,0.5159,1.0001,0.0007,944.14,121,121,2026-06-26,,False,21,4,107.71,-250.15,-141.0
BTC,15:00,leg_both,50,191,151.03,833.3,-682.27,-3.5721,-4.1007,0.3141,10.6423,-10.0825,1.0555,0.4834,-5.0303,764.58,162,162,2026-07-08,,False,5,10,60.46,-35.48,-28.55
BTC,15:00,leg_both,100,191,965.73,749.78,215.94,1.1306,-2.7637,0.4607,24.6441,-18.9586,1.2999,1.1106,0.7944,274.12,87,87,2026-07-07,,False,6,8,80.73,-68.63,-47.25
BTC,15:00,leg_both,150,191,1273.66,715.67,557.99,2.9214,4.5247,0.5288,30.5184,-28.0486,1.0881,1.221,1.455,438.7,86,86,2026-05-18,,False,6,6,107.71,-250.15,-80.76
BTC,15:00,leg_independent,50,191,559.17,794.46,-235.3,-1.2319,3.4238,0.5812,15.3081,-24.1812,0.6331,0.8784,-0.9231,588.72,135,135,2026-07-05,,False,8,7,60.46,-82.48,-65.54
BTC,15:00,leg_independent,100,191,1197.36,733.46,463.9,2.4288,2.7617,0.5445,23.0792,-22.2568,1.037,1.2396,1.5579,280.45,44,43,2026-03-14,2026-04-17,True,6,6,80.73,-113.54,-65.94
BTC,15:00,leg_independent,150,191,1285.22,711.14,574.08,3.0056,5.6004,0.5654,28.8808,-30.6632,0.9419,1.2256,1.4684,409.51,126,126,2026-05-18,,False,7,6,107.71,-250.15,-87.32
BTC,15:15,combined,50,191,1006.03,680.5,325.53,1.7043,6.4608,0.5759,27.5506,-33.3956,0.825,1.1203,0.9215,373.29,85,85,2026-05-17,,False,11,7,104.1,-83.96,-61.91
BTC,15:15,combined,100,191,70.14,673.24,-603.1,-3.1576,9.1786,0.5969,27.8881,-49.1213,0.5677,0.8405,-1.2173,1128.8,156,156,2026-07-03,,False,11,7,104.1,-297.19,-129.23
BTC,15:15,combined,150,191,169.18,671.98,-502.8,-2.6325,9.5241,0.6021,27.8761,-48.7967,0.5713,0.8644,-0.9825,1150.3,156,156,2026-05-17,,False,11,7,104.1,-297.19,-142.12
BTC,15:15,leg_both,50,191,499.31,791.71,-292.4,-1.5309,-4.5872,0.3455,15.4226,-10.4823,1.4713,0.7768,-1.634,439.32,87,87,2026-07-09,,False,5,16,104.1,-32.52,-25.35
BTC,15:15,leg_both,100,191,815.38,724.28,91.11,0.477,-2.6807,0.4346,25.1682,-18.4987,1.3605,1.0456,0.3323,437.95,81,81,2026-07-06,,False,5,7,104.1,-56.49,-42.13
BTC,15:15,leg_both,150,191,435.27,700.91,-265.64,-1.3908,-0.2094,0.4974,27.306,-29.7886,0.9167,0.9071,-0.6627,749.14,128,128,2026-07-06,,False,5,8,104.1,-297.19,-92.97
BTC,15:15,leg_independent,50,191,1296.12,752.26,543.86,2.8475,2.8957,0.5497,18.2661,-15.9777,1.1432,1.3958,2.3098,212.71,61,60,2026-05-21,2026-06-14,True,10,5,104.1,-64.73,-48.9
BTC,15:15,leg_independent,100,191,1106.66,707.48,399.18,2.09,2.2532,0.5288,22.8117,-21.1644,1.0778,1.2096,1.3813,289.89,81,81,2026-07-06,,False,7,6,104.1,-93.29,-55.66
BTC,15:15,leg_independent,150,191,552.48,694.02,-141.54,-0.741,1.3404,0.534,26.1507,-31.5607,0.8286,0.9496,-0.3496,719.96,128,128,2026-07-06,,False,7,8,104.1,-297.19,-96.86
BTC,15:30,combined,50,191,739.34,656.21,83.14,0.4353,5.3029,0.5654,26.7448,-33.7989,0.7913,1.0296,0.2142,669.5,128,128,2026-06-26,,False,10,6,99.04,-258.66,-79.54
BTC,15:30,combined,100,191,1087.53,640.21,447.33,2.342,10.2388,0.6283,27.024,-39.3739,0.6863,1.16,1.034,376.09,118,117,2026-03-31,2026-07-07,True,10,5,99.04,-258.66,-108.83
BTC,15:30,combined,150,191,560.23,639.13,-78.9,-0.4131,10.2388,0.6283,27.024,-46.7856,0.5776,0.9762,-0.1586,747.66,156,156,2026-05-26,,False,10,5,99.04,-258.66,-143.4
BTC,15:30,leg_both,50,191,476.69,757.37,-280.68,-1.4695,-4.0825,0.3246,15.3157,-9.5368,1.606,0.7719,-1.5872,568.39,87,87,2026-07-10,,False,5,12,99.04,-28.48,-23.16
